,name,M/F,n,year
1331,Robert,M,84138,1946
1332,John,M,79261,1946
1333,William,M,60038,1946
1334,Richard,M,58868,1946
1335,David,M,46439,1946
1336,Michael,M,41181,1946
1337,Thomas,M,38867,1946
1338,Charles,M,38203,1946
1339,Ronald,M,31855,1946
1340,Linda,F,99689,1947
1341,Mary,F,71687,1947
1342,Patricia,F,51279,1947
1343,Barbara,F,48792,1947
1344,Sandra,F,34775,1947
1345,Carol,F,33539,1947
1346,Nancy,F,32444,1947
1347,Susan,F,31954,1947
1348,Sharon,F,28535,1947
1349,Donna,F,23519,1947
1350,James,M,94757,1947
1351,Robert,M,91640,1947
1352,John,M,88319,1947
1353,William,M,66989,1947
1354,Richard,M,58521,1947
1355,David,M,57806,1947
1356,Michael,M,50501,1947
1357,Thomas,M,44835,1947
1358,Charles,M,40770,1947
1359,Larry,M,34938,1947
1360,Linda,F,96211,1948
1361,Mary,F,68597,1948
1362,Barbara,F,46826,1948
1363,Patricia,F,46136,1948
1364,Susan,F,35985,1948
1365,Sandra,F,31060,1948
1366,Nancy,F,29411,1948
1367,Carol,F,28979,1948
1368,Sharon,F,26142,1948
1369,Kathleen,F,23256,1948
1370,James,M,88584,1948
1371,Robert,M,85475,1948
1372,John,M,82829,1948
1373,William,M,61965,1948
1374,David,M,56623,1948
1375,Michael,M,52564,1948
1376,Richard,M,50970,1948
1377,Thomas,M,43778,1948
1378,Charles,M,38676,1948
1379,Ronald,M,33518,1948
1380,Linda,F,91016,1949
1381,Mary,F,66864,1949
1382,Patricia,F,46330,1949
1383,Barbara,F,42601,1949
1384,Susan,F,37706,1949
1385,Sandra,F,30642,1949
1386,Nancy,F,29246,1949
1387,Carol,F,26783,1949
1388,Kathleen,F,26354,1949
1389,Sharon,F,25711,1949
1390,James,M,86857,1949
1391,Robert,M,83872,1949
1392,John,M,81161,1949
1393,William,M,61501,1949
1394,Michael,M,60046,1949
1395,David,M,59601,1949
1396,Richard,M,50939,1949
1397,Thomas,M,45202,1949
1398,Charles,M,40042,1949
1399,Larry,M,31809,1949
1400,Linda,F,80431,1950
1401,Mary,F,65481,1950
1402,Patricia,F,47945,1950
1403,Barbara,F,41552,1950
1404,Susan,F,38017,1950
1405,Nancy,F,29616,1950
1406,Deborah,F,29063,1950
1407,Sandra,F,28896,1950
1408,Carol,F,26164,1950
1409,Kathleen,F,25704,1950
1410,James,M,86224,1950
1411,Robert,M,83559,1950
1412,John,M,79424,1950
1413,Michael,M,65144,1950
1414,David,M,60727,1950
1415,William,M,60689,1950
1416,Richard,M,51000,1950
1417,Thomas,M,45599,1950
1418,Charles,M,39102,1950
1419,Gary,M,33749,1950
1420,Linda,F,73978,1951
1421,Mary,F,65721,1951
1422,Patricia,F,56442,1951
1423,Deborah,F,42052,1951
1424,Barbara,F,40620,1951
1425,Susan,F,40228,1951
1426,Nancy,F,30347,1951
1427,Karen,F,27998,1951
1428,Sandra,F,27667,1951
1429,Kathleen,F,26715,1951
1430,James,M,87261,1951
1431,Robert,M,86351,1951
1432,John,M,81574,1951
1433,Michael,M,72797,1951
1434,David,M,64792,1951
1435,William,M,62782,1951
1436,Richard,M,54549,1951
1437,Thomas,M,48284,1951
1438,Charles,M,39397,1951
1439,Gary,M,38163,1951
1440,Linda,F,67082,1952
1441,Mary,F,65634,1952
1442,Patricia,F,53098,1952
1443,Deborah,F,49814,1952
1444,Susan,F,41350,1952
1445,Barbara,F,39865,1952
1446,Nancy,F,31740,1952
1447,Karen,F,28959,1952
1448,Debra,F,26832,1952
1449,Sandra,F,26101,1952
1450,James,M,87063,1952
1451,Robert,M,86604,1952
1452,John,M,83138,1952
1453,Michael,M,79049,1952
1454,David,M,71750,1952
1455,William,M,63047,1952
1456,Richard,M,58350,1952
1457,Thomas,M,48652,1952
1458,Charles,M,38869,1952
1459,Gary,M,38756,1952
1460,Mary,F,64379,1953
1461,Linda,F,61280,1953
1462,Deborah,F,52201,1953
1463,Patricia,F,51018,1953
1464,Susan,F,44297,1953
1465,Barbara,F,38472,1953
1466,Debra,F,36860,1953
1467,Nancy,F,30618,1953
1468,Karen,F,29853,1953
1469,Pamela,F,25759,1953
1470,Robert,M,86256,1953
1471,James,M,86099,1953
1472,Michael,M,84226,1953
1473,John,M,80190,1953
1474,David,M,76152,1953
1475,William,M,61840,1953
1476,Richard,M,58403,1953
1477,Thomas,M,47005,1953
1478,Charles,M,38434,1953
1479,Gary,M,36972,1953
1480,Mary,F,68007,1954
1481,Linda,F,55381,1954
1482,Deborah,F,54677,1954
1483,Patricia,F,49146,1954
1484,Susan,F,47151,1954
1485,Debra,F,45890,1954
1486,Barbara,F,36370,1954
1487,Karen,F,32454,1954
1488,Nancy,F,30264,1954
1489,Cynthia,F,27616,1954
1490,Michael,M,88528,1954
1491,Robert,M,86298,1954
1492,James,M,86272,1954
1493,John,M,81165,1954
1494,David,M,79529,1954
1495,William,M,61417,1954
1496,Richard,M,57014,1954
1497,Thomas,M,47158,1954
1498,Gary,M,37919,1954
1499,Charles,M,37451,1954
1500,Mary,F,63165,1955
1501,Deborah,F,52315,1955
1502,Linda,F,51288,1955
1503,Debra,F,50556,1955
1504,Susan,F,47402,1955
1505,Patricia,F,46217,1955
1506,Barbara,F,33605,1955
1507,Karen,F,33218,1955
1508,Nancy,F,30017,1955
1509,Donna,F,27943,1955
1510,Michael,M,88327,1955
1511,David,M,86253,1955
1512,James,M,84155,1955
1513,Robert,M,83703,1955
1514,John,M,80054,1955
1515,William,M,59958,1955
1516,Richard,M,53545,1955
1517,Thomas,M,45824,1955
1518,Mark,M,42222,1955
1519,Steven,M,37821,1955
1520,Mary,F,61756,1956
1521,Debra,F,48302,1956
1522,Linda,F,48075,1956
1523,Deborah,F,47837,1956
1524,Susan,F,46571,1956
1525,Patricia,F,43342,1956
1526,Karen,F,40047,1956
1527,Cynthia,F,32344,1956
1528,Barbara,F,32298,1956
1529,Donna,F,29856,1956
1530,Michael,M,90656,1956
1531,James,M,84863,1956
1532,Robert,M,83917,1956
1533,David,M,81624,1956
1534,John,M,80790,1956
1535,William,M,58957,1956
1536,Richard,M,52906,1956
1537,Mark,M,48832,1956
1538,Thomas,M,44818,1956
1539,Steven,M,38397,1956
1540,Mary,F,61094,1957
1541,Susan,F,45948,1957
1542,Linda,F,44500,1957
1543,Debra,F,42737,1957
1544,Karen,F,40586,1957
1545,Deborah,F,40071,1957
1546,Cynthia,F,39326,1957
1547,Patricia,F,39270,1957
1548,Barbara,F,29687,1957
1549,Donna,F,28039,1957
1550,Michael,M,92704,1957
1551,James,M,84275,1957
1552,David,M,82349,1957
1553,Robert,M,81717,1957
1554,John,M,78984,1957
1555,William,M,56829,1957
1556,Mark,M,52794,1957
1557,Richard,M,52401,1957
1558,Thomas,M,44572,1957
1559,Steven,M,36819,1957
1560,Mary,F,55857,1958
1561,Susan,F,45173,1958
1562,Linda,F,41899,1958
1563,Karen,F,38463,1958
1564,Patricia,F,37940,1958
1565,Debra,F,35517,1958
1566,Deborah,F,32937,1958
1567,Cynthia,F,31003,1958
1568,Barbara,F,27875,1958
1569,Donna,F,26949,1958
1570,Michael,M,90517,1958
1571,David,M,82578,1958
1572,James,M,78713,1958
1573,Robert,M,77272,1958
1574,John,M,75991,1958
1575,William,M,54195,1958
1576,Mark,M,52665,1958
1577,Richard,M,49942,1958
1578,Thomas,M,42064,1958
1579,Steven,M,32946,1958
1580,Mary,F,54474,1959
1581,Susan,F,41599,1959
1582,Linda,F,40403,1959
1583,Karen,F,36776,1959
1584,Donna,F,36465,1959
1585,Patricia,F,35220,1959
1586,Debra,F,31373,1959
1587,Cynthia,F,30167,1959
1588,Deborah,F,29552,1959
1589,Lisa,F,25691,1959
1590,Michael,M,85251,1959
1591,David,M,83931,1959
1592,James,M,78606,1959
1593,John,M,76407,1959
1594,Robert,M,74502,1959
1595,Mark,M,56909,1959
1596,William,M,51366,1959
1597,Richard,M,47169,1959
1598,Thomas,M,40276,1959
1599,Steven,M,33572,1959
1600,Mary,F,51475,1960
1601,Susan,F,39203,1960
1602,Linda,F,37311,1960
1603,Karen,F,36380,1960
1604,Donna,F,34132,1960
1605,Lisa,F,33702,1960
1606,Patricia,F,32104,1960
1607,Debra,F,26739,1960
1608,Cynthia,F,26723,1960
1609,Deborah,F,25265,1960
1610,David,M,85929,1960
1611,Michael,M,84180,1960
1612,James,M,76832,1960
1613,John,M,76093,1960
1614,Robert,M,72360,1960
1615,Mark,M,58728,1960
1616,William,M,49350,1960
1617,Richard,M,43546,1960
1618,Thomas,M,39273,1960
1619,Steven,M,33889,1960
1620,Mary,F,47680,1961
1621,Lisa,F,42702,1961
1622,Susan,F,37521,1961
1623,Linda,F,35579,1961
1624,Karen,F,34697,1961
1625,Patricia,F,28868,1961
1626,Donna,F,28668,1961
1627,Cynthia,F,24378,1961
1628,Sandra,F,24144,1961
1629,Deborah,F,24093,1961
1630,Michael,M,86917,1961
1631,David,M,84758,1961
1632,John,M,79929,1961
1633,James,M,75924,1961
1634,Robert,M,72901,1961
1635,Mark,M,57767,1961
1636,William,M,47994,1961
1637,Richard,M,41117,1961
1638,Thomas,M,37551,1961
1639,Steven,M,32240,1961
1640,Lisa,F,46078,1962
1641,Mary,F,43486,1962
1642,Susan,F,35743,1962
1643,Karen,F,35184,1962
1644,Linda,F,31468,1962
1645,Patricia,F,26536,1962
1646,Donna,F,25730,1962
1647,Cynthia,F,24021,1962
1648,Deborah,F,22894,1962
1649,Sandra,F,22414,1962
1650,Michael,M,85034,1962
1651,David,M,81324,1962
1652,John,M,78429,1962
1653,James,M,72555,1962
1654,Robert,M,70196,1962
1655,Mark,M,53504,1962
1656,William,M,44860,1962
1657,Richard,M,39409,1962
1658,Thomas,M,36524,1962
1659,Jeffrey,M,33521,1962
1660,Lisa,F,56040,1963
1661,Mary,F,41550,1963
1662,Susan,F,33998,1963
1663,Karen,F,32485,1963
1664,Linda,F,27719,1963
1665,Donna,F,25399,1963
1666,Patricia,F,25371,1963
