,name,M/F,n,year
1112,John,M,47499,1935
1113,William,M,40198,1935
1114,Richard,M,33945,1935
1115,Charles,M,29983,1935
1116,Donald,M,29661,1935
1117,George,M,18559,1935
1118,Thomas,M,17680,1935
1119,Joseph,M,17183,1935
1120,Mary,F,54372,1936
1121,Shirley,F,35161,1936
1122,Barbara,F,31682,1936
1123,Betty,F,25866,1936
1124,Patricia,F,23914,1936
1125,Dorothy,F,17669,1936
1126,Joan,F,17069,1936
1127,Nancy,F,16756,1936
1128,Margaret,F,14594,1936
1129,Carol,F,14521,1936
1130,Robert,M,58492,1936
1131,James,M,54686,1936
1132,John,M,47669,1936
1133,William,M,39386,1936
1134,Richard,M,33487,1936
1135,Charles,M,29084,1936
1136,Donald,M,28635,1936
1137,Thomas,M,18339,1936
1138,George,M,18195,1936
1139,David,M,17479,1936
1140,Mary,F,55645,1937
1141,Barbara,F,34912,1937
1142,Patricia,F,26839,1937
1143,Shirley,F,26816,1937
1144,Betty,F,25332,1937
1145,Carol,F,17336,1937
1146,Nancy,F,17069,1937
1147,Dorothy,F,16572,1937
1148,Joan,F,15299,1937
1149,Margaret,F,15143,1937
1150,Robert,M,61835,1937
1151,James,M,56551,1937
1152,John,M,48746,1937
1153,William,M,40713,1937
1154,Richard,M,32973,1937
1155,Charles,M,30524,1937
1156,Donald,M,27868,1937
1157,David,M,20974,1937
1158,Thomas,M,19775,1937
1159,George,M,18430,1937
1160,Mary,F,56215,1938
1161,Barbara,F,39279,1938
1162,Patricia,F,27556,1938
1163,Betty,F,25504,1938
1164,Shirley,F,23767,1938
1165,Carol,F,19424,1938
1166,Nancy,F,18948,1938
1167,Dorothy,F,16348,1938
1168,Margaret,F,15330,1938
1169,Joan,F,14302,1938
1170,Robert,M,62268,1938
1171,James,M,59099,1938
1172,John,M,50519,1938
1173,William,M,42422,1938
1174,Richard,M,34380,1938
1175,Charles,M,31138,1938
1176,Donald,M,26665,1938
1177,David,M,22992,1938
1178,Thomas,M,21376,1938
1179,Ronald,M,20296,1938
1180,Mary,F,54901,1939
1181,Barbara,F,37258,1939
1182,Patricia,F,29706,1939
1183,Betty,F,23641,1939
1184,Shirley,F,20445,1939
1185,Carol,F,20166,1939
1186,Nancy,F,19726,1939
1187,Judith,F,16626,1939
1188,Dorothy,F,15171,1939
1189,Margaret,F,14952,1939
1190,Robert,M,59645,1939
1191,James,M,59627,1939
1192,John,M,51015,1939
1193,William,M,42077,1939
1194,Richard,M,35373,1939
1195,Charles,M,30787,1939
1196,David,M,25362,1939
1197,Donald,M,24056,1939
1198,Thomas,M,22128,1939
1199,Ronald,M,19835,1939
1200,Mary,F,56203,1940
1201,Barbara,F,36734,1940
1202,Patricia,F,32664,1940
1203,Judith,F,22382,1940
1204,Betty,F,22074,1940
1205,Carol,F,21761,1940
1206,Nancy,F,19732,1940
1207,Linda,F,18369,1940
1208,Shirley,F,17878,1940
1209,Sandra,F,16150,1940
1210,James,M,62473,1940
1211,Robert,M,61196,1940
1212,John,M,54779,1940
1213,William,M,44768,1940
1214,Richard,M,37415,1940
1215,Charles,M,31684,1940
1216,David,M,27687,1940
1217,Thomas,M,23987,1940
1218,Donald,M,23106,1940
1219,Ronald,M,20730,1940
1220,Mary,F,58040,1941
1221,Barbara,F,39538,1941
1222,Patricia,F,36901,1941
1223,Carol,F,24181,1941
1224,Linda,F,23721,1941
1225,Judith,F,23316,1941
1226,Betty,F,20905,1941
1227,Nancy,F,20881,1941
1228,Sandra,F,19498,1941
1229,Shirley,F,16953,1941
1230,James,M,66736,1941
1231,Robert,M,64233,1941
1232,John,M,57515,1941
1233,William,M,47789,1941
1234,Richard,M,39106,1941
1235,Charles,M,32732,1941
1236,David,M,30551,1941
1237,Thomas,M,26643,1941
1238,Ronald,M,24399,1941
1239,Donald,M,22633,1941
1240,Mary,F,63254,1942
1241,Barbara,F,44734,1942
1242,Patricia,F,39456,1942
1243,Linda,F,31611,1942
1244,Carol,F,30273,1942
1245,Sandra,F,24993,1942
1246,Judith,F,24792,1942
1247,Nancy,F,23325,1942
1248,Betty,F,21653,1942
1249,Carolyn,F,19979,1942
1250,James,M,77176,1942
1251,Robert,M,71838,1942
1252,John,M,66027,1942
1253,William,M,54884,1942
1254,Richard,M,43585,1942
1255,David,M,35894,1942
1256,Charles,M,35843,1942
1257,Thomas,M,31098,1942
1258,Ronald,M,27134,1942
1259,Donald,M,23951,1942
1260,Mary,F,66169,1943
1261,Barbara,F,43429,1943
1262,Patricia,F,39625,1943
1263,Linda,F,38439,1943
1264,Carol,F,31682,1943
1265,Sandra,F,25988,1943
1266,Judith,F,25209,1943
1267,Sharon,F,24713,1943
1268,Nancy,F,23990,1943
1269,Betty,F,21596,1943
1270,James,M,80261,1943
1271,Robert,M,74865,1943
1272,John,M,68919,1943
1273,William,M,55898,1943
1274,Richard,M,46328,1943
1275,David,M,37236,1943
1276,Charles,M,36627,1943
1277,Thomas,M,32865,1943
1278,Ronald,M,29235,1943
1279,Michael,M,24743,1943
1280,Mary,F,62467,1944
1281,Barbara,F,39197,1944
1282,Linda,F,38412,1944
1283,Patricia,F,36877,1944
1284,Carol,F,30456,1944
1285,Sandra,F,26023,1944
1286,Nancy,F,23212,1944
1287,Judith,F,22430,1944
1288,Sharon,F,22430,1944
1289,Betty,F,19756,1944
1290,James,M,76951,1944
1291,Robert,M,70843,1944
1292,John,M,66610,1944
1293,William,M,52369,1944
1294,Richard,M,45642,1944
1295,David,M,37381,1944
1296,Charles,M,34654,1944
1297,Thomas,M,31598,1944
1298,Michael,M,26720,1944
1299,Ronald,M,25511,1944
1300,Mary,F,59283,1945
1301,Linda,F,41462,1945
1302,Barbara,F,38276,1945
1303,Patricia,F,35839,1945
1304,Carol,F,30387,1945
1305,Sandra,F,24701,1945
1306,Nancy,F,21456,1945
1307,Sharon,F,20834,1945
1308,Judith,F,20189,1945
1309,Susan,F,19222,1945
1310,James,M,74449,1945
1311,Robert,M,69937,1945
1312,John,M,66113,1945
1313,William,M,50213,1945
1314,Richard,M,46043,1945
1315,David,M,37098,1945
1316,Charles,M,32462,1945
1317,Thomas,M,31869,1945
1318,Michael,M,29899,1945
1319,Ronald,M,23663,1945
1320,Mary,F,67467,1946
1321,Linda,F,52710,1946
1322,Patricia,F,46296,1946
1323,Barbara,F,45122,1946
1324,Carol,F,34284,1946
1325,Sandra,F,31692,1946
1326,Nancy,F,28344,1946
1327,Susan,F,28267,1946
1328,Sharon,F,27824,1946
1329,Judith,F,22308,1946
1330,James,M,87436,1946
