,name,M/F,n,year
1668,Sandra,F,21619,1963
1669,Cynthia,F,21593,1963
1670,Michael,M,83782,1963
1671,John,M,78625,1963
1672,David,M,78467,1963
1673,James,M,71322,1963
1674,Robert,M,70012,1963
1675,Mark,M,49350,1963
1676,William,M,44474,1963
1677,Richard,M,40786,1963
1678,Thomas,M,35503,1963
1679,Jeffrey,M,31719,1963
1680,Lisa,F,54275,1964
1681,Mary,F,40990,1964
1682,Susan,F,31515,1964
1683,Karen,F,30247,1964
1684,Patricia,F,26088,1964
1685,Kimberly,F,24128,1964
1686,Donna,F,23810,1964
1687,Linda,F,23633,1964
1688,Cynthia,F,20320,1964
1689,Tammy,F,20041,1964
1690,Michael,M,82646,1964
1691,John,M,82533,1964
1692,David,M,75054,1964
1693,James,M,73037,1964
1694,Robert,M,70003,1964
1695,Mark,M,45269,1964
1696,William,M,44240,1964
1697,Richard,M,40097,1964
1698,Thomas,M,34451,1964
1699,Jeffrey,M,30732,1964
1700,Lisa,F,60269,1965
1701,Mary,F,34270,1965
1702,Karen,F,32872,1965
1703,Kimberly,F,28830,1965
1704,Susan,F,26328,1965
1705,Patricia,F,23554,1965
1706,Donna,F,19698,1965
1707,Linda,F,19334,1965
1708,Cynthia,F,19248,1965
1709,Angela,F,18749,1965
1710,Michael,M,81021,1965
1711,John,M,71541,1965
1712,David,M,67852,1965
1713,James,M,67701,1965
1714,Robert,M,63123,1965
1715,William,M,40127,1965
1716,Mark,M,38264,1965
1717,Richard,M,36849,1965
1718,Thomas,M,31623,1965
1719,Jeffrey,M,29587,1965
1720,Lisa,F,56914,1966
1721,Kimberly,F,32234,1966
1722,Mary,F,28884,1966
1723,Michelle,F,27151,1966
1724,Karen,F,25446,1966
1725,Susan,F,23773,1966
1726,Patricia,F,20110,1966
1727,Tammy,F,18621,1966
1728,Angela,F,18530,1966
1729,Jennifer,F,18210,1966
1730,Michael,M,79990,1966
1731,David,M,66420,1966
1732,James,M,65174,1966
1733,John,M,65032,1966
1734,Robert,M,59330,1966
1735,William,M,38253,1966
1736,Mark,M,34806,1966
1737,Richard,M,34469,1966
1738,Jeffrey,M,30202,1966
1739,Thomas,M,29014,1966
1740,Lisa,F,52435,1967
1741,Kimberly,F,33102,1967
1742,Michelle,F,30826,1967
1743,Mary,F,25313,1967
1744,Susan,F,22263,1967
1745,Karen,F,21540,1967
1746,Angela,F,19543,1967
1747,Tammy,F,18652,1967
1748,Melissa,F,18379,1967
1749,Jennifer,F,18231,1967
1750,Michael,M,82436,1967
1751,David,M,66810,1967
1752,James,M,61698,1967
1753,John,M,61618,1967
1754,Robert,M,56381,1967
1755,William,M,37619,1967
1756,Mark,M,34925,1967
1757,Richard,M,33588,1967
1758,Christopher,M,29426,1967
1759,Brian,M,28655,1967
1760,Lisa,F,49532,1968
1761,Michelle,F,33221,1968
1762,Kimberly,F,31908,1968
1763,Jennifer,F,26852,1968
1764,Melissa,F,21727,1968
1765,Mary,F,21725,1968
1766,Angela,F,20669,1968
1767,Tammy,F,20056,1968
1768,Karen,F,19558,1968
1769,Susan,F,19503,1968
1770,Michael,M,82008,1968
1771,David,M,63718,1968
1772,John,M,60929,1968
1773,James,M,60693,1968
1774,Robert,M,58211,1968
1775,William,M,36956,1968
1776,Mark,M,35420,1968
1777,Richard,M,32987,1968
1778,Christopher,M,31459,1968
1779,Brian,M,29939,1968
1780,Lisa,F,45029,1969
1781,Michelle,F,34322,1969
1782,Jennifer,F,33702,1969
1783,Kimberly,F,33077,1969
1784,Melissa,F,23020,1969
1785,Amy,F,21464,1969
1786,Angela,F,21055,1969
1787,Mary,F,19851,1969
1788,Tammy,F,19051,1969
1789,Laura,F,17920,1969
1790,Michael,M,85203,1969
1791,David,M,63700,1969
1792,James,M,59915,1969
1793,John,M,58771,1969
1794,Robert,M,58325,1969
1795,William,M,37629,1969
1796,Christopher,M,35698,1969
1797,Mark,M,33394,1969
1798,Brian,M,31687,1969
1799,Richard,M,31106,1969
1800,Jennifer,F,46157,1970
1801,Lisa,F,38963,1970
1802,Kimberly,F,34136,1970
1803,Michelle,F,34050,1970
1804,Amy,F,25209,1970
1805,Angela,F,24927,1970
1806,Melissa,F,23737,1970
1807,Tammy,F,19586,1970
1808,Mary,F,19203,1970
1809,Tracy,F,18468,1970
1810,Michael,M,85302,1970
1811,James,M,61759,1970
1812,David,M,61752,1970
1813,John,M,58525,1970
1814,Robert,M,57203,1970
1815,Christopher,M,41772,1970
1816,William,M,38910,1970
1817,Brian,M,31930,1970
1818,Mark,M,31492,1970
1819,Richard,M,30456,1970
1820,Jennifer,F,56783,1971
1821,Michelle,F,33160,1971
1822,Lisa,F,32909,1971
1823,Kimberly,F,30696,1971
1824,Amy,F,26237,1971
1825,Angela,F,25896,1971
1826,Melissa,F,23869,1971
1827,Tammy,F,17657,1971
1828,Mary,F,16697,1971
1829,Julie,F,15326,1971
1830,Michael,M,77594,1971
1831,James,M,54621,1971
1832,David,M,53118,1971
1833,John,M,51518,1971
1834,Robert,M,50654,1971
1835,Christopher,M,48234,1971
1836,William,M,35432,1971
1837,Jason,M,34187,1971
1838,Brian,M,32637,1971
1839,Scott,M,30921,1971
1840,Jennifer,F,63603,1972
1841,Michelle,F,29284,1972
1842,Lisa,F,27549,1972
1843,Kimberly,F,26290,1972
1844,Amy,F,25873,1972
1845,Angela,F,23556,1972
1846,Melissa,F,22503,1972
1847,Stephanie,F,16885,1972
1848,Heather,F,16321,1972
1849,Nicole,F,15752,1972
1850,Michael,M,71405,1972
1851,Christopher,M,52189,1972
1852,James,M,47083,1972
1853,David,M,46366,1972
1854,John,M,43181,1972
1855,Robert,M,43037,1972
1856,Jason,M,37446,1972
1857,Brian,M,36322,1972
1858,William,M,30529,1972
1859,Matthew,M,22943,1972
1860,Jennifer,F,62447,1973
1861,Amy,F,26964,1973
1862,Michelle,F,26934,1973
1863,Kimberly,F,23533,1973
1864,Lisa,F,22669,1973
1865,Melissa,F,22480,1973
1866,Angela,F,20896,1973
1867,Heather,F,19349,1973
1868,Stephanie,F,17263,1973
1869,Rebecca,F,14870,1973
1870,Michael,M,67847,1973
1871,Christopher,M,48321,1973
1872,Jason,M,46683,1973
1873,James,M,42889,1973
1874,David,M,41102,1973
1875,John,M,39176,1973
1876,Robert,M,38701,1973
1877,Brian,M,35715,1973
1878,William,M,28021,1973
1879,Matthew,M,24546,1973
1880,Jennifer,F,63114,1974
1881,Amy,F,29565,1974
1882,Michelle,F,25828,1974
1883,Heather,F,23181,1974
1884,Angela,F,22802,1974
1885,Kimberly,F,22419,1974
1886,Melissa,F,22166,1974
1887,Lisa,F,19774,1974
1888,Stephanie,F,16983,1974
1889,Rebecca,F,15167,1974
1890,Michael,M,67578,1974
1891,Jason,M,54776,1974
1892,Christopher,M,48603,1974
1893,David,M,41815,1974
1894,James,M,41354,1974
1895,John,M,37638,1974
1896,Robert,M,37031,1974
1897,Brian,M,34460,1974
1898,Matthew,M,27224,1974
1899,William,M,26990,1974
1900,Jennifer,F,58183,1975
1901,Amy,F,32251,1975
1902,Heather,F,24299,1975
1903,Melissa,F,24165,1975
1904,Angela,F,23360,1975
