,name,M/F,n,year
1905,Michelle,F,22665,1975
1906,Kimberly,F,20263,1975
1907,Lisa,F,18134,1975
1908,Stephanie,F,15774,1975
1909,Nicole,F,14276,1975
1910,Michael,M,68454,1975
1911,Jason,M,52186,1975
1912,Christopher,M,46592,1975
1913,James,M,39591,1975
1914,David,M,39177,1975
1915,Robert,M,35335,1975
1916,John,M,35097,1975
1917,Brian,M,30608,1975
1918,Matthew,M,28550,1975
1919,William,M,25572,1975
1920,Jennifer,F,59474,1976
1921,Amy,F,31341,1976
1922,Melissa,F,25095,1976
1923,Heather,F,24198,1976
1924,Angela,F,22042,1976
1925,Michelle,F,19555,1976
1926,Kimberly,F,18966,1976
1927,Jessica,F,18370,1976
1928,Lisa,F,17351,1976
1929,Amanda,F,15590,1976
1930,Michael,M,66954,1976
1931,Jason,M,52680,1976
1932,Christopher,M,45210,1976
1933,David,M,39294,1976
1934,James,M,38309,1976
1935,John,M,34006,1976
1936,Robert,M,33810,1976
1937,Brian,M,30532,1976
1938,Matthew,M,29981,1976
1939,Daniel,M,24720,1976
1940,Jennifer,F,58964,1977
1941,Melissa,F,26886,1977
1942,Amy,F,26732,1977
1943,Jessica,F,24843,1977
1944,Heather,F,23777,1977
1945,Angela,F,20996,1977
1946,Michelle,F,19539,1977
1947,Kimberly,F,18286,1977
1948,Amanda,F,18280,1977
1949,Kelly,F,18235,1977
1950,Michael,M,67616,1977
1951,Jason,M,55653,1977
1952,Christopher,M,46749,1977
1953,David,M,40543,1977
1954,James,M,40054,1977
1955,John,M,34227,1977
1956,Robert,M,34217,1977
1957,Brian,M,32502,1977
1958,Matthew,M,31973,1977
1959,Joseph,M,26493,1977
1960,Jennifer,F,56321,1978
1961,Melissa,F,28330,1978
1962,Jessica,F,26102,1978
1963,Amy,F,23212,1978
1964,Heather,F,22271,1978
1965,Amanda,F,20517,1978
1966,Angela,F,20511,1978
1967,Sarah,F,19977,1978
1968,Michelle,F,18860,1978
1969,Nicole,F,17276,1978
1970,Michael,M,67158,1978
1971,Jason,M,51629,1978
1972,Christopher,M,47259,1978
1973,David,M,40704,1978
1974,James,M,39915,1978
1975,Matthew,M,34310,1978
1976,John,M,34037,1978
1977,Robert,M,33396,1978
1978,Brian,M,29451,1978
1979,Joseph,M,26671,1978
1980,Jennifer,F,56717,1979
1981,Melissa,F,34052,1979
1982,Amanda,F,31928,1979
1983,Jessica,F,27776,1979
1984,Amy,F,21615,1979
1985,Sarah,F,21018,1979
1986,Heather,F,20839,1979
1987,Angela,F,20256,1979
1988,Nicole,F,19511,1979
1989,Michelle,F,19269,1979
1990,Michael,M,67739,1979
1991,Christopher,M,50677,1979
1992,Jason,M,50408,1979
1993,David,M,42078,1979
1994,James,M,39371,1979
1995,Matthew,M,35657,1979
1996,John,M,35434,1979
1997,Robert,M,34026,1979
1998,Joshua,M,31137,1979
1999,Brian,M,28670,1979
2000,Jennifer,F,58375,1980
2001,Amanda,F,35821,1980
2002,Jessica,F,33921,1980
2003,Melissa,F,31636,1980
2004,Sarah,F,25755,1980
2005,Heather,F,19975,1980
2006,Nicole,F,19920,1980
2007,Amy,F,19835,1980
2008,Elizabeth,F,19528,1980
2009,Michelle,F,19123,1980
2010,Michael,M,68696,1980
2011,Christopher,M,49092,1980
2012,Jason,M,48171,1980
2013,David,M,41925,1980
2014,James,M,39325,1980
2015,Matthew,M,37855,1980
2016,Joshua,M,36060,1980
2017,John,M,35279,1980
2018,Robert,M,34280,1980
2019,Joseph,M,30203,1980
2020,Jennifer,F,57049,1981
2021,Jessica,F,42533,1981
2022,Amanda,F,34373,1981
2023,Sarah,F,28173,1981
2024,Melissa,F,28000,1981
2025,Amy,F,20343,1981
2026,Nicole,F,20312,1981
2027,Stephanie,F,20209,1981
2028,Elizabeth,F,20173,1981
2029,Heather,F,17947,1981
2030,Michael,M,68763,1981
2031,Christopher,M,50235,1981
2032,Matthew,M,43333,1981
2033,Jason,M,41931,1981
2034,David,M,40668,1981
2035,Joshua,M,39054,1981
2036,James,M,38313,1981
2037,John,M,34887,1981
2038,Robert,M,34406,1981
2039,Daniel,M,30994,1981
2040,Jennifer,F,57117,1982
2041,Jessica,F,45451,1982
2042,Amanda,F,34214,1982
2043,Sarah,F,28484,1982
2044,Melissa,F,25867,1982
2045,Nicole,F,21707,1982
2046,Stephanie,F,20857,1982
2047,Elizabeth,F,20514,1982
2048,Crystal,F,19104,1982
2049,Amy,F,18803,1982
2050,Michael,M,68235,1982
2051,Christopher,M,59231,1982
2052,Matthew,M,46066,1982
2053,Jason,M,40632,1982
2054,David,M,40459,1982
2055,James,M,38875,1982
2056,Joshua,M,38028,1982
2057,John,M,34705,1982
2058,Robert,M,34425,1982
2059,Daniel,M,32653,1982
2060,Jennifer,F,54346,1983
2061,Jessica,F,45282,1983
2062,Amanda,F,33754,1983
2063,Ashley,F,33293,1983
2064,Sarah,F,27229,1983
2065,Melissa,F,23473,1983
2066,Nicole,F,22399,1983
2067,Stephanie,F,22330,1983
2068,Heather,F,20746,1983
2069,Elizabeth,F,19842,1983
2070,Michael,M,68000,1983
2071,Christopher,M,59349,1983
2072,Matthew,M,50217,1983
2073,David,M,39199,1983
2074,Joshua,M,36707,1983
2075,James,M,36354,1983
2076,Jason,M,35115,1983
2077,Daniel,M,34750,1983
2078,John,M,33153,1983
2079,Robert,M,32746,1983
2080,Jennifer,F,50559,1984
2081,Jessica,F,45855,1984
2082,Ashley,F,38772,1984
2083,Amanda,F,33908,1984
2084,Sarah,F,25884,1984
2085,Stephanie,F,23021,1984
2086,Nicole,F,22265,1984
2087,Melissa,F,21891,1984
2088,Heather,F,21492,1984
2089,Elizabeth,F,20364,1984
2090,Michael,M,67741,1984
2091,Christopher,M,60029,1984
2092,Matthew,M,49776,1984
2093,Joshua,M,40262,1984
2094,David,M,38486,1984
2095,Daniel,M,36533,1984
2096,James,M,35857,1984
2097,John,M,32617,1984
2098,Robert,M,31773,1984
2099,Joseph,M,30515,1984
2100,Jessica,F,48347,1985
2101,Ashley,F,47007,1985
2102,Jennifer,F,42651,1985
2103,Amanda,F,39052,1985
2104,Sarah,F,24882,1985
2105,Stephanie,F,23239,1985
2106,Nicole,F,22967,1985
2107,Heather,F,21153,1985
2108,Elizabeth,F,20541,1985
2109,Megan,F,20013,1985
2110,Michael,M,64912,1985
2111,Christopher,M,59609,1985
2112,Matthew,M,47079,1985
2113,Joshua,M,42195,1985
2114,Daniel,M,38542,1985
2115,David,M,38521,1985
2116,James,M,35861,1985
2117,Robert,M,32090,1985
2118,John,M,31500,1985
2119,Joseph,M,30212,1985
2120,Jessica,F,52677,1986
2121,Ashley,F,49676,1986
2122,Amanda,F,40529,1986
2123,Jennifer,F,36185,1986
2124,Sarah,F,28155,1986
2125,Stephanie,F,22647,1986
2126,Nicole,F,21285,1986
2127,Brittany,F,20311,1986
2128,Heather,F,19792,1986
2129,Elizabeth,F,19072,1986
2130,Michael,M,64208,1986
2131,Christopher,M,56691,1986
2132,Matthew,M,46925,1986
2133,Joshua,M,37542,1986
2134,David,M,37147,1986
2135,Daniel,M,36574,1986
2136,James,M,34040,1986
2137,Andrew,M,33856,1986
2138,Robert,M,31349,1986
2139,John,M,30207,1986
2140,Jessica,F,55994,1987
2141,Ashley,F,54854,1987
2142,Amanda,F,41786,1987
2143,Jennifer,F,32703,1987
2144,Sarah,F,27890,1987
2145,Stephanie,F,22398,1987
2146,Brittany,F,22231,1987
2147,Nicole,F,20286,1987
2148,Heather,F,18979,1987
2149,Elizabeth,F,18607,1987
2150,Michael,M,63655,1987
2151,Christopher,M,54493,1987
2152,Matthew,M,46481,1987
2153,Joshua,M,40000,1987
2154,David,M,36786,1987
2155,Andrew,M,36206,1987
2156,Daniel,M,35865,1987
2157,James,M,32643,1987
2158,Justin,M,31492,1987
2159,Robert,M,30229,1987
2160,Jessica,F,51543,1988
2161,Ashley,F,49963,1988
2162,Amanda,F,39457,1988
2163,Sarah,F,28368,1988
2164,Jennifer,F,27889,1988
2165,Brittany,F,26815,1988
2166,Stephanie,F,22838,1988
2167,Samantha,F,20699,1988
2168,Nicole,F,20311,1988
2169,Elizabeth,F,20038,1988
2170,Michael,M,64143,1988
2171,Christopher,M,52997,1988
2172,Matthew,M,45870,1988
2173,Joshua,M,42651,1988
2174,Andrew,M,35741,1988
2175,David,M,35314,1988
2176,Justin,M,35042,1988
2177,Daniel,M,34700,1988
2178,James,M,32510,1988
2179,Robert,M,30317,1988
2180,Jessica,F,47884,1989
2181,Ashley,F,47589,1989
2182,Brittany,F,37788,1989
2183,Amanda,F,36827,1989
2184,Sarah,F,27793,1989
2185,Samantha,F,24792,1989
2186,Jennifer,F,23997,1989
2187,Stephanie,F,22768,1989
2188,Lauren,F,21063,1989
2189,Elizabeth,F,20295,1989
2190,Michael,M,65389,1989
2191,Christopher,M,53178,1989
2192,Matthew,M,45374,1989
2193,Joshua,M,44091,1989
2194,David,M,35218,1989
2195,Daniel,M,35001,1989
2196,Andrew,M,34811,1989
2197,Justin,M,32843,1989
2198,James,M,32703,1989
2199,Robert,M,30065,1989
2200,Jessica,F,46475,1990
2201,Ashley,F,45560,1990
2202,Brittany,F,36537,1990
2203,Amanda,F,34408,1990
2204,Samantha,F,25867,1990
2205,Sarah,F,25817,1990
2206,Stephanie,F,24860,1990
2207,Jennifer,F,22228,1990
2208,Elizabeth,F,20744,1990
2209,Lauren,F,20506,1990
2210,Michael,M,65290,1990
2211,Christopher,M,52336,1990
2212,Matthew,M,44804,1990
2213,Joshua,M,43219,1990
2214,Daniel,M,33818,1990
2215,David,M,33743,1990
2216,Andrew,M,33657,1990
2217,James,M,32349,1990
2218,Justin,M,30641,1990
2219,Joseph,M,30128,1990
2220,Ashley,F,43478,1991
2221,Jessica,F,43398,1991
2222,Brittany,F,29089,1991
