,name,M/F,n,year
2424,Alexis,F,16402,2001
2425,Sarah,F,15899,2001
2426,Samantha,F,15864,2001
2427,Abigail,F,14807,2001
2428,Elizabeth,F,14786,2001
2429,Olivia,F,13977,2001
2430,Jacob,M,32545,2001
2431,Michael,M,29683,2001
2432,Matthew,M,26808,2001
2433,Joshua,M,26015,2001
2434,Christopher,M,23126,2001
2435,Nicholas,M,22845,2001
2436,Andrew,M,22411,2001
2437,Joseph,M,22011,2001
2438,Daniel,M,20989,2001
2439,William,M,20101,2001
2440,Emily,F,24464,2002
2441,Madison,F,21773,2002
2442,Hannah,F,18822,2002
2443,Emma,F,16540,2002
2444,Alexis,F,15636,2002
2445,Ashley,F,15344,2002
2446,Abigail,F,15298,2002
2447,Sarah,F,14760,2002
2448,Samantha,F,14666,2002
2449,Olivia,F,14629,2002
2450,Jacob,M,30574,2002
2451,Michael,M,28245,2002
2452,Joshua,M,25993,2002
2453,Matthew,M,25153,2002
2454,Ethan,M,22109,2002
2455,Andrew,M,22019,2002
2456,Joseph,M,21895,2002
2457,Christopher,M,21684,2002
2458,Nicholas,M,21390,2002
2459,Daniel,M,21316,2002
2460,Emily,F,25691,2003
2461,Emma,F,22706,2003
2462,Madison,F,20199,2003
2463,Hannah,F,17637,2003
2464,Olivia,F,16148,2003
2465,Abigail,F,15928,2003
2466,Alexis,F,14867,2003
2467,Ashley,F,14514,2003
2468,Elizabeth,F,14103,2003
2469,Samantha,F,13867,2003
2470,Jacob,M,29638,2003
2471,Michael,M,27121,2003
2472,Joshua,M,25095,2003
2473,Matthew,M,24001,2003
2474,Andrew,M,22153,2003
2475,Joseph,M,21367,2003
2476,Ethan,M,21357,2003
2477,Daniel,M,21039,2003
2478,Christopher,M,20749,2003
2479,Anthony,M,20145,2003
2480,Emily,F,25037,2004
2481,Emma,F,21607,2004
2482,Madison,F,20622,2004
2483,Olivia,F,16105,2004
2484,Hannah,F,15605,2004
2485,Abigail,F,15426,2004
2486,Isabella,F,15017,2004
2487,Ashley,F,14373,2004
2488,Samantha,F,13783,2004
2489,Elizabeth,F,13561,2004
2490,Jacob,M,27881,2004
2491,Michael,M,25458,2004
2492,Joshua,M,24204,2004
2493,Matthew,M,22874,2004
2494,Ethan,M,22206,2004
2495,Andrew,M,21703,2004
2496,Daniel,M,20983,2004
2497,William,M,20225,2004
2498,Joseph,M,20125,2004
2499,Christopher,M,19630,2004
2500,Emily,F,23940,2005
2501,Emma,F,20344,2005
2502,Madison,F,19568,2005
2503,Abigail,F,15749,2005
2504,Olivia,F,15693,2005
2505,Isabella,F,15186,2005
2506,Hannah,F,14845,2005
2507,Samantha,F,13638,2005
2508,Ava,F,13605,2005
2509,Ashley,F,13274,2005
2510,Jacob,M,25833,2005
2511,Michael,M,23815,2005
2512,Joshua,M,23250,2005
2513,Matthew,M,21468,2005
2514,Ethan,M,21312,2005
2515,Andrew,M,20730,2005
2516,Daniel,M,20211,2005
2517,Anthony,M,19379,2005
2518,Joseph,M,19217,2005
2519,Christopher,M,19168,2005
2520,Emily,F,21404,2006
2521,Emma,F,19119,2006
2522,Madison,F,18626,2006
