,name,M/F,n,year
0,Mary,F,7065,1880
1,Anna,F,2604,1880
2,Emma,F,2003,1880
3,Elizabeth,F,1939,1880
4,Minnie,F,1746,1880
5,Margaret,F,1578,1880
6,Ida,F,1472,1880
7,Alice,F,1414,1880
8,Bertha,F,1320,1880
9,Sarah,F,1288,1880
10,John,M,9655,1880
11,William,M,9532,1880
12,James,M,5927,1880
13,Charles,M,5348,1880
14,George,M,5126,1880
15,Frank,M,3242,1880
16,Joseph,M,2632,1880
17,Thomas,M,2534,1880
18,Henry,M,2444,1880
19,Robert,M,2415,1880
20,Mary,F,6919,1881
21,Anna,F,2698,1881
22,Emma,F,2034,1881
23,Elizabeth,F,1852,1881
24,Margaret,F,1658,1881
25,Minnie,F,1653,1881
26,Ida,F,1439,1881
27,Annie,F,1326,1881
28,Bertha,F,1324,1881
29,Alice,F,1308,1881
30,John,M,8769,1881
31,William,M,8524,1881
32,James,M,5441,1881
33,George,M,4664,1881
34,Charles,M,4636,1881
35,Frank,M,2834,1881
36,Joseph,M,2456,1881
37,Henry,M,2339,1881
38,Thomas,M,2282,1881
39,Edward,M,2177,1881
40,Mary,F,8148,1882
41,Anna,F,3143,1882
42,Emma,F,2303,1882
43,Elizabeth,F,2186,1882
44,Minnie,F,2004,1882
45,Margaret,F,1821,1882
46,Ida,F,1673,1882
47,Alice,F,1542,1882
48,Bertha,F,1508,1882
49,Annie,F,1492,1882
50,John,M,9557,1882
51,William,M,9298,1882
52,James,M,5892,1882
53,George,M,5193,1882
54,Charles,M,5091,1882
55,Frank,M,3176,1882
56,Joseph,M,2670,1882
57,Thomas,M,2610,1882
58,Henry,M,2579,1882
59,Robert,M,2500,1882
60,Mary,F,8012,1883
61,Anna,F,3306,1883
62,Emma,F,2367,1883
63,Elizabeth,F,2255,1883
64,Minnie,F,2035,1883
65,Margaret,F,1881,1883
66,Bertha,F,1681,1883
67,Ida,F,1634,1883
68,Annie,F,1589,1883
69,Clara,F,1548,1883
70,John,M,8894,1883
71,William,M,8387,1883
72,James,M,5223,1883
73,Charles,M,4826,1883
74,George,M,4736,1883
75,Frank,M,2986,1883
76,Joseph,M,2515,1883
77,Henry,M,2383,1883
78,Robert,M,2334,1883
79,Thomas,M,2316,1883
80,Mary,F,9217,1884
81,Anna,F,3860,1884
82,Emma,F,2587,1884
83,Elizabeth,F,2549,1884
84,Minnie,F,2243,1884
85,Margaret,F,2142,1884
86,Ida,F,1882,1884
87,Clara,F,1852,1884
88,Bertha,F,1789,1884
89,Annie,F,1739,1884
90,John,M,9388,1884
91,William,M,8897,1884
92,James,M,5693,1884
93,George,M,4961,1884
94,Charles,M,4802,1884
95,Frank,M,3218,1884
96,Joseph,M,2707,1884
97,Thomas,M,2572,1884
98,Henry,M,2474,1884
99,Robert,M,2468,1884
