,name,M/F,n,year
100,Mary,F,9128,1885
101,Anna,F,3994,1885
102,Emma,F,2728,1885
103,Elizabeth,F,2582,1885
104,Margaret,F,2204,1885
105,Minnie,F,2178,1885
106,Clara,F,1910,1885
107,Bertha,F,1860,1885
108,Ida,F,1854,1885
109,Annie,F,1703,1885
110,John,M,8756,1885
111,William,M,8044,1885
112,James,M,5175,1885
113,George,M,4674,1885
114,Charles,M,4599,1885
115,Frank,M,3067,1885
116,Joseph,M,2540,1885
117,Henry,M,2406,1885
118,Robert,M,2322,1885
119,Thomas,M,2266,1885
120,Mary,F,9889,1886
121,Anna,F,4283,1886
122,Emma,F,2764,1886
123,Elizabeth,F,2680,1886
124,Minnie,F,2372,1886
125,Margaret,F,2275,1886
126,Ida,F,2049,1886
127,Bertha,F,2001,1886
128,Clara,F,1916,1886
129,Florence,F,1860,1886
130,John,M,9026,1886
131,William,M,8252,1886
132,James,M,5355,1886
133,George,M,4671,1886
134,Charles,M,4533,1886
135,Frank,M,3127,1886
136,Joseph,M,2594,1886
137,Robert,M,2443,1886
138,Henry,M,2404,1886
139,Thomas,M,2337,1886
140,Mary,F,9888,1887
141,Anna,F,4227,1887
142,Elizabeth,F,2681,1887
143,Emma,F,2647,1887
144,Margaret,F,2419,1887
145,Minnie,F,2215,1887
146,Bertha,F,2037,1887
147,Clara,F,1984,1887
148,Florence,F,1964,1887
149,Ida,F,1929,1887
150,John,M,8110,1887
151,William,M,7470,1887
152,James,M,4768,1887
153,George,M,4284,1887
154,Charles,M,4031,1887
155,Frank,M,2883,1887
156,Joseph,M,2456,1887
157,Henry,M,2228,1887
158,Thomas,M,2151,1887
159,Edward,M,2125,1887
160,Mary,F,11754,1888
161,Anna,F,4982,1888
162,Elizabeth,F,3224,1888
163,Emma,F,3087,1888
164,Margaret,F,2904,1888
165,Minnie,F,2654,1888
166,Bertha,F,2450,1888
167,Florence,F,2444,1888
168,Ethel,F,2374,1888
169,Bessie,F,2278,1888
170,John,M,9247,1888
171,William,M,8705,1888
172,James,M,5562,1888
173,George,M,4912,1888
174,Charles,M,4591,1888
175,Frank,M,3459,1888
176,Joseph,M,2993,1888
177,Robert,M,2814,1888
178,Harry,M,2759,1888
179,Henry,M,2596,1888
180,Mary,F,11648,1889
181,Anna,F,5062,1889
182,Elizabeth,F,3058,1889
183,Margaret,F,2917,1889
184,Emma,F,2884,1889
185,Minnie,F,2624,1889
186,Florence,F,2465,1889
187,Ethel,F,2463,1889
188,Bessie,F,2343,1889
189,Clara,F,2319,1889
190,John,M,8548,1889
191,William,M,7772,1889
192,James,M,5020,1889
193,George,M,4430,1889
194,Charles,M,4199,1889
195,Frank,M,2975,1889
196,Joseph,M,2729,1889
197,Harry,M,2559,1889
198,Robert,M,2513,1889
199,Edward,M,2299,1889
200,Mary,F,12078,1890
201,Anna,F,5233,1890
202,Elizabeth,F,3112,1890
203,Margaret,F,3100,1890
204,Emma,F,2980,1890
205,Florence,F,2744,1890
206,Ethel,F,2718,1890
207,Minnie,F,2650,1890
208,Clara,F,2496,1890
209,Bertha,F,2388,1890
210,John,M,8502,1890
211,William,M,7494,1890
212,James,M,5097,1890
213,George,M,4458,1890
214,Charles,M,4061,1890
215,Frank,M,3078,1890
216,Joseph,M,2670,1890
217,Robert,M,2541,1890
218,Henry,M,2349,1890
219,Harry,M,2345,1890
220,Mary,F,11703,1891
221,Anna,F,5099,1891
222,Margaret,F,3065,1891
223,Elizabeth,F,3059,1891
224,Emma,F,2884,1891
225,Florence,F,2715,1891
226,Ethel,F,2689,1891
227,Minnie,F,2428,1891
228,Helen,F,2417,1891
229,Bertha,F,2372,1891
230,John,M,7680,1891
231,William,M,6763,1891
232,James,M,4516,1891
233,George,M,3931,1891
234,Charles,M,3640,1891
235,Frank,M,2652,1891
236,Joseph,M,2572,1891
237,Robert,M,2240,1891
238,Harry,M,2132,1891
239,Henry,M,2049,1891
240,Mary,F,13172,1892
241,Anna,F,5542,1892
242,Elizabeth,F,3461,1892
243,Margaret,F,3435,1892
244,Ruth,F,3290,1892
245,Florence,F,3154,1892
246,Emma,F,3128,1892
247,Ethel,F,3035,1892
248,Helen,F,2936,1892
249,Clara,F,2661,1892
250,John,M,9039,1892
251,William,M,7782,1892
252,James,M,5398,1892
253,George,M,4760,1892
254,Charles,M,4319,1892
255,Frank,M,3150,1892
256,Joseph,M,3064,1892
257,Robert,M,2710,1892
258,Harry,M,2460,1892
259,Henry,M,2452,1892
260,Mary,F,12784,1893
261,Anna,F,5695,1893
262,Ruth,F,3658,1893
263,Margaret,F,3565,1893
264,Elizabeth,F,3360,1893
265,Helen,F,3249,1893
266,Florence,F,3231,1893
267,Ethel,F,3119,1893
268,Emma,F,2968,1893
269,Bertha,F,2623,1893
270,John,M,8049,1893
271,William,M,7223,1893
272,James,M,5030,1893
273,George,M,4320,1893
274,Charles,M,3723,1893
275,Joseph,M,2997,1893
276,Frank,M,2917,1893
277,Robert,M,2563,1893
278,Edward,M,2309,1893
279,Harry,M,2245,1893
280,Mary,F,13151,1894
281,Anna,F,5565,1894
282,Margaret,F,3700,1894
283,Helen,F,3676,1894
284,Elizabeth,F,3425,1894
285,Ruth,F,3372,1894
286,Ethel,F,3287,1894
287,Florence,F,3233,1894
288,Emma,F,2937,1894
289,Marie,F,2649,1894
290,John,M,8238,1894
291,William,M,7274,1894
292,James,M,5110,1894
293,George,M,4365,1894
294,Charles,M,3788,1894
295,Joseph,M,2977,1894
296,Frank,M,2863,1894
297,Robert,M,2497,1894
298,Henry,M,2278,1894
299,Harry,M,2189,1894
300,Mary,F,13446,1895
301,Anna,F,5950,1895
302,Helen,F,4023,1895
303,Margaret,F,3931,1895
304,Elizabeth,F,3603,1895
305,Ruth,F,3551,1895
306,Florence,F,3471,1895
307,Ethel,F,3391,1895
308,Marie,F,3011,1895
309,Emma,F,2952,1895
310,John,M,8320,1895
311,William,M,7277,1895
312,James,M,5335,1895
313,George,M,4289,1895
314,Charles,M,3633,1895
315,Frank,M,3012,1895
316,Joseph,M,2992,1895
317,Robert,M,2635,1895
318,Henry,M,2221,1895
319,Edward,M,2203,1895
320,Mary,F,13811,1896
321,Anna,F,5860,1896
322,Helen,F,4392,1896
323,Margaret,F,4050,1896
324,Ruth,F,3905,1896
325,Ethel,F,3502,1896
326,Elizabeth,F,3471,1896
327,Florence,F,3323,1896
328,Marie,F,3087,1896
329,Emma,F,2872,1896
330,John,M,8138,1896
331,William,M,7747,1896
332,James,M,5207,1896
333,George,M,4286,1896
334,Charles,M,3639,1896
335,Joseph,M,3051,1896
336,Frank,M,2845,1896
337,Robert,M,2719,1896
338,Edward,M,2296,1896
339,Henry,M,2183,1896
340,Mary,F,13413,1897
341,Anna,F,5429,1897
342,Helen,F,4519,1897
343,Margaret,F,4146,1897
344,Ruth,F,3878,1897
345,Elizabeth,F,3442,1897
346,Florence,F,3369,1897
347,Ethel,F,3182,1897
348,Marie,F,3078,1897
349,Emma,F,2698,1897
350,John,M,7550,1897
351,William,M,7198,1897
352,James,M,5113,1897
353,George,M,4078,1897
354,Charles,M,3341,1897
355,Joseph,M,2827,1897
356,Frank,M,2726,1897
357,Robert,M,2701,1897
358,Edward,M,2121,1897
359,Henry,M,1994,1897
360,Mary,F,14406,1898
361,Anna,F,5773,1898
362,Helen,F,5230,1898
363,Margaret,F,4696,1898
364,Ruth,F,4249,1898
365,Florence,F,3790,1898
366,Elizabeth,F,3659,1898
367,Ethel,F,3531,1898
368,Marie,F,3435,1898
369,Lillian,F,3061,1898
370,John,M,8159,1898
371,William,M,7400,1898
372,James,M,5321,1898
373,George,M,4853,1898
374,Charles,M,3557,1898
375,Joseph,M,3171,1898
376,Robert,M,2932,1898
377,Frank,M,2925,1898
378,Edward,M,2337,1898
379,Thomas,M,2161,1898
380,Mary,F,13172,1899
381,Anna,F,5115,1899
382,Helen,F,5048,1899
383,Margaret,F,4249,1899
384,Ruth,F,3912,1899
385,Florence,F,3314,1899
386,Elizabeth,F,3287,1899
387,Marie,F,3156,1899
388,Ethel,F,2999,1899
389,Lillian,F,2703,1899
390,John,M,6990,1899
391,William,M,6086,1899
392,James,M,4597,1899
393,George,M,4018,1899
394,Charles,M,3147,1899
395,Joseph,M,2679,1899
396,Robert,M,2609,1899
397,Frank,M,2550,1899
398,Edward,M,1901,1899
399,Henry,M,1831,1899
400,Mary,F,16706,1900
401,Helen,F,6343,1900
402,Anna,F,6114,1900
403,Margaret,F,5304,1900
404,Ruth,F,4765,1900
405,Elizabeth,F,4096,1900
406,Florence,F,3920,1900
407,Ethel,F,3896,1900
408,Marie,F,3856,1900
409,Lillian,F,3414,1900
410,John,M,9829,1900
411,William,M,8579,1900
412,James,M,7245,1900
413,George,M,5403,1900
414,Charles,M,4098,1900
415,Robert,M,3821,1900
416,Joseph,M,3714,1900
417,Frank,M,3477,1900
418,Edward,M,2720,1900
419,Henry,M,2606,1900
420,Mary,F,13136,1901
421,Helen,F,5247,1901
422,Anna,F,4923,1901
423,Margaret,F,4424,1901
424,Ruth,F,3974,1901
425,Elizabeth,F,3216,1901
426,Marie,F,3157,1901
427,Florence,F,3131,1901
428,Ethel,F,3067,1901
429,Lillian,F,2681,1901
430,John,M,6900,1901
431,William,M,5990,1901
432,James,M,4735,1901
433,George,M,3609,1901
434,Charles,M,3049,1901
435,Joseph,M,2766,1901
436,Robert,M,2543,1901
437,Frank,M,2402,1901
438,Edward,M,1917,1901
439,Henry,M,1870,1901
440,Mary,F,14486,1902
441,Helen,F,5967,1902
442,Anna,F,5288,1902
443,Margaret,F,5011,1902
444,Ruth,F,4384,1902
445,Elizabeth,F,3694,1902
446,Florence,F,3509,1902
447,Marie,F,3424,1902
448,Ethel,F,3295,1902
449,Alice,F,3135,1902
450,John,M,7907,1902
451,William,M,6616,1902
452,James,M,5592,1902
453,George,M,4223,1902
454,Charles,M,3361,1902
455,Robert,M,3180,1902
456,Joseph,M,3098,1902
457,Frank,M,2756,1902
458,Edward,M,2294,1902
459,Henry,M,2154,1902
460,Mary,F,14275,1903
461,Helen,F,6129,1903
462,Anna,F,5098,1903
463,Margaret,F,5046,1903
464,Ruth,F,4518,1903
465,Elizabeth,F,3723,1903
466,Marie,F,3469,1903
467,Florence,F,3468,1903
468,Ethel,F,3257,1903
469,Mildred,F,3088,1903
470,John,M,7608,1903
471,William,M,6311,1903
472,James,M,5480,1903
473,George,M,3961,1903
474,Charles,M,3213,1903
475,Joseph,M,3121,1903
476,Robert,M,3044,1903
477,Frank,M,2644,1903
478,Edward,M,2268,1903
479,Thomas,M,1962,1903
480,Mary,F,14961,1904
481,Helen,F,6488,1904
482,Anna,F,5330,1904
483,Margaret,F,5302,1904
484,Ruth,F,4900,1904
485,Elizabeth,F,3833,1904
486,Marie,F,3595,1904
487,Florence,F,3572,1904
488,Mildred,F,3525,1904
489,Dorothy,F,3477,1904
490,John,M,8108,1904
491,William,M,6416,1904
492,James,M,5855,1904
493,George,M,4219,1904
494,Robert,M,3414,1904
495,Charles,M,3406,1904
496,Joseph,M,3291,1904
497,Frank,M,2799,1904
498,Edward,M,2334,1904
499,Henry,M,2086,1904
500,Mary,F,16067,1905
501,Helen,F,6811,1905
502,Margaret,F,5690,1905
503,Anna,F,5424,1905
504,Ruth,F,5068,1905
505,Elizabeth,F,4121,1905
506,Dorothy,F,3937,1905
507,Mildred,F,3758,1905
508,Marie,F,3643,1905
509,Alice,F,3610,1905
510,John,M,8060,1905
511,William,M,6495,1905
512,James,M,6042,1905
513,George,M,4256,1905
514,Charles,M,3608,1905
515,Robert,M,3410,1905
516,Joseph,M,3302,1905
517,Frank,M,2837,1905
518,Edward,M,2366,1905
519,Thomas,M,2135,1905
520,Mary,F,16370,1906
521,Helen,F,7176,1906
522,Margaret,F,6096,1906
523,Anna,F,5502,1906
524,Ruth,F,5140,1906
525,Dorothy,F,4326,1906
526,Elizabeth,F,4321,1906
527,Alice,F,4192,1906
528,Mildred,F,3873,1906
529,Florence,F,3691,1906
530,John,M,8265,1906
531,William,M,6566,1906
532,James,M,5908,1906
533,George,M,4201,1906
534,Robert,M,3635,1906
535,Charles,M,3607,1906
536,Joseph,M,3527,1906
537,Frank,M,2798,1906
538,Edward,M,2398,1906
539,Thomas,M,2176,1906
540,Mary,F,17580,1907
541,Helen,F,7579,1907
542,Margaret,F,6713,1907
543,Anna,F,5575,1907
544,Ruth,F,5573,1907
545,Dorothy,F,4967,1907
546,Elizabeth,F,4624,1907
547,Mildred,F,4277,1907
548,Alice,F,4107,1907
549,Marie,F,3880,1907
550,John,M,8983,1907
551,William,M,6904,1907
552,James,M,6707,1907
553,George,M,4445,1907
554,Robert,M,4020,1907
